Word,Year,Round,Part_of_Speech,Language,Times_Used,Years_Since_Last_Used,Num_Syllables,Word_Length,Reduplication,Error
quiddity,2013,3,noun,Germanic,1,0,3,8,1,0
quintessence,1999,3,noun,Germanic,1,0,3,12,1,1
rathskeller,1999,7,noun,Germanic,1,0,3,11,1,0
rennet,2016,2,noun,Germanic,1,0,2,6,1,0
reresupper,2004,2,noun,Germanic,1,0,2,10,1,1
rollmops,2015,5,noun,Germanic,1,0,2,8,1,1
roodebok,2010,2,noun,Germanic,1,0,3,8,1,0
rottweiler,2000,4,noun,Germanic,1,0,3,10,1,0
ruelle,2008,3,noun,Germanic,1,0,2,6,1,0
russet,2009,2,noun,Germanic,1,0,2,6,1,0
saffron,1996,2,noun,Germanic,1,0,2,7,1,0
sapphire,2009,2,noun,Germanic,1,0,2,8,1,0
scherenschnitte,2015,20,noun,Germanic,1,0,4,15,1,0
schiller,2015,6,noun,Germanic,1,0,2,8,1,0
schipperke,2010,3,noun,Germanic,1,0,3,10,1,0
schloss,2002,3,noun,Germanic,1,0,1,7,1,1
schottische,2004,2,noun,Germanic,1,0,2,11,1,0
schuhplattler,2007,8,noun,Germanic,1,0,3,13,1,0
scission,2008,4,noun,Germanic,1,0,2,8,1,0
scrimmage,1996,2,noun,Germanic,1,0,2,9,1,0
scullery,2011,3,noun,Germanic,1,0,2,8,1,0
semmel,2014,12,noun,Germanic,1,0,2,6,1,0
shoofly,1996,3,noun,Germanic,1,0,2,7,1,0
skirret,2002,1,noun,Germanic,1,0,2,7,1,0
sluggard,2017,3,noun,Germanic,1,0,2,8,1,0
sorrel,1999,3,noun,Germanic,1,0,2,6,1,0
staatenbund,2017,23,noun,Germanic,1,0,3,11,1,0
staffage,2011,4,noun,Germanic,1,0,2,8,1,1
stollen,2008,4,noun,Germanic,1,0,2,7,1,0
succade,2008,5,noun,Germanic,1,0,2,7,1,1
surrey,1996,2,noun,Germanic,1,0,2,6,1,1
swidden,2014,5,noun,Germanic,1,0,2,7,1,0
syllogism,2011,3,noun,Germanic,1,0,3,9,1,0
tallage,2001,1,noun,Germanic,1,0,2,7,1,1
tassel,2008,2,noun,Germanic,1,0,2,6,1,0
tendresse,1996,7,noun,Germanic,1,0,2,9,1,1
tetragrammaton,2002,1,noun,Germanic,1,0,5,14,1,1
tippet,2016,2,noun,Germanic,1,0,2,6,1,0
turret,2009,2,noun,Germanic,1,0,2,6,1,0
ullage,1996,4,noun,Germanic,1,0,2,6,1,1
utterance,2007,2,noun,Germanic,1,0,3,9,1,0
vaccary,2000,1,noun,Germanic,1,0,3,7,1,0
vassal,2017,2,noun,Germanic,1,0,2,6,1,1
vellum,1999,3,noun,Germanic,1,0,2,6,1,0
veneer,2009,2,noun,Germanic,1,0,2,6,1,0
villain,2007,2,noun,Germanic,1,0,2,7,1,0
voortrekker,2010,3,noun,Germanic,1,0,3,11,1,1
warrant,2007,2,noun,Germanic,1,0,2,7,1,0
warranty,1999,2,noun,Germanic,1,0,3,8,1,0
wassail,2008,2,noun,Germanic,3,0,2,7,1,1
wassail,1997,3,noun,Germanic,1,0,2,7,1,0
waterzooi,2005,2,noun,Germanic,1,0,3,9,1,0
weevil,2014,3,noun,Germanic,1,0,2,6,1,0
Weissnichtwo,2010,3,noun,Germanic,1,0,3,12,1,0
whortleberry,2012,3,noun,Germanic,1,0,4,12,1,0
